Date,price
551757,1663116325
551758,1663116325
551759,1663116325
551800,1663674025
551801,1663674025
551802,1663674025
551803,1663674025
551804,1663674025
551805,1660889750
551806,1660889750
551808,1660889750
551809,1660889750
551810,1658308275
551811,1658308275
551812,1658308275
551813,1658308275
551814,1658308275
551815,1656521100
551816,1656521100
551817,1656521100
551818,1656521100
551819,1656521100
551820,1656521100
551821,1656521100
551822,1656521100
551823,1656521100
551824,1653331225
551825,1652803100
551826,1652803100
551827,1652803100
551828,1652803100
551829,1652803100
551830,1646605025
551832,1646605025
551833,1646605025
551834,1646605025
551835,1640994225
551836,1640994225
551837,1640994225
551838,1640994225
551839,1640994225
551840,1642519450
551841,1642519450
551842,1642519450
551843,1642519450
551844,1642519450
551845,1641437850
551846,1641437850
551847,1641437850
551848,1641437850
551849,1641437850
551850,1637462125
551852,1637462125
551853,1637462125
551854,1637462125
551855,1630811975
551856,1630811975
551857,1630811975
551858,1630811975
551859,1630811975
551900,1631428825
551901,1631428825
551902,1631428825
551903,1631428825
551904,1631428825
551905,1625437775
551906,1625437775
551907,1625437775
551908,1625437775
551909,1625437775
551910,1622273250
551911,1622273250
551912,1622273250
551913,1622273250
